timestamp,start_time,end_time,line_id,product_id,step_id,run_id,quantity,status,actual_machine_id
2024-03-09T16:53:40Z,2024-03-09T11:48:50Z,2024-03-09T16:53:40Z,LINE-A,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000001,1,complete,MX-103
2024-03-10T18:00:00Z,2024-03-10T17:43:25Z,2024-03-10T18:00:00Z,LINE-B,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000001,1,complete,MX-103
2024-03-12T18:00:00Z,2024-03-12T12:54:51Z,2024-03-12T18:00:00Z,LINE-A,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000001,1,complete,MX-104
2024-03-13T12:20:03Z,2024-03-13T09:01:05Z,2024-03-13T12:20:03Z,LINE-B,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000001,1,complete,MX-103
2024-06-25T16:58:43Z,2024-06-25T13:43:42Z,2024-06-25T16:58:43Z,LINE-B,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000002,1,complete,MX-105
2024-06-27T18:00:00Z,2024-06-27T16:21:11Z,2024-06-27T18:00:00Z,LINE-A,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000002,1,complete,MX-102
2024-06-28T18:00:00Z,2024-06-28T15:47:57Z,2024-06-28T18:00:00Z,LINE-B,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000002,1,complete,MX-103
2024-06-29T14:57:22Z,2024-06-29T10:31:05Z,2024-06-29T14:57:22Z,LINE-A,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000002,1,complete,MX-104
2024-02-28T18:00:00Z,2024-02-28T15:41:06Z,2024-02-28T18:00:00Z,LINE-B,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000003,1,complete,MX-101
2024-03-01T18:00:00Z,2024-03-01T16:31:14Z,2024-03-01T18:00:00Z,LINE-A,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000003,1,complete,MX-105
2024-03-01T18:00:00Z,2024-03-01T17:59:00Z,2024-03-01T18:00:00Z,LINE-B,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000003,1,complete,MX-102
