run_id,product_id,planned_qty
PRD-1-RUN-000001,PRD-1,1
PRD-1-RUN-000002,PRD-1,1
PRD-1-RUN-000003,PRD-1,1
PRD-1-RUN-000004,PRD-1,1
PRD-1-RUN-000005,PRD-1,1
PRD-1-RUN-000006,PRD-1,1
PRD-1-RUN-000007,PRD-1,1
PRD-1-RUN-000008,PRD-1,1
PRD-1-RUN-000009,PRD-1,1
PRD-1-RUN-000010,PRD-1,1
PRD-1-RUN-000011,PRD-1,1
PRD-1-RUN-000012,PRD-1,1
PRD-1-RUN-000013,PRD-1,1
PRD-1-RUN-000014,PRD-1,1
PRD-1-RUN-000015,PRD-1,1
PRD-1-RUN-000016,PRD-1,1
PRD-1-RUN-000017,PRD-1,1
PRD-1-RUN-000018,PRD-1,1
PRD-1-RUN-000019,PRD-1,1
PRD-1-RUN-000020,PRD-1,1
PRD-1-RUN-000021,PRD-1,1
PRD-1-RUN-000022,PRD-1,1
PRD-1-RUN-000023,PRD-1,1
PRD-1-RUN-000024,PRD-1,1
PRD-1-RUN-000025,PRD-1,1
PRD-1-RUN-000026,PRD-1,1
PRD-1-RUN-000027,PRD-1,1
PRD-1-RUN-000028,PRD-1,1
PRD-1-RUN-000029,PRD-1,1
PRD-1-RUN-000030,PRD-1,1
PRD-1-RUN-000031,PRD-1,1
PRD-1-RUN-000032,PRD-1,1
PRD-1-RUN-000033,PRD-1,1
PRD-1-RUN-000034,PRD-1,1
PRD-1-RUN-000035,PRD-1,1
PRD-1-RUN-000036,PRD-1,1
PRD-1-RUN-000037,PRD-1,1
PRD-1-RUN-000038,PRD-1,1
PRD-1-RUN-000039,PRD-1,1
PRD-1-RUN-000040,PRD-1,1
PRD-1-RUN-000041,PRD-1,1
PRD-1-RUN-000042,PRD-1,1
PRD-1-RUN-000043,PRD-1,1
PRD-1-RUN-000044,PRD-1,1
PRD-1-RUN-000045,PRD-1,1
PRD-1-RUN-000046,PRD-1,1
PRD-1-RUN-000047,PRD-1,1
PRD-1-RUN-000048,PRD-1,1
PRD-1-RUN-000049,PRD-1,1
PRD-1-RUN-000050,PRD-1,1
PRD-1-RUN-000051,PRD-1,1
PRD-1-RUN-000052,PRD-1,1
PRD-1-RUN-000053,PRD-1,1
PRD-1-RUN-000054,PRD-1,1
PRD-1-RUN-000055,PRD-1,1
PRD-1-RUN-000056,PRD-1,1
PRD-1-RUN-000057,PRD-1,1
PRD-1-RUN-000058,PRD-1,1
PRD-1-RUN-000059,PRD-1,1
PRD-1-RUN-000060,PRD-1,1
PRD-1-RUN-000061,PRD-1,1
PRD-1-RUN-000062,PRD-1,1
PRD-1-RUN-000063,PRD-1,1
PRD-1-RUN-000064,PRD-1,1
PRD-1-RUN-000065,PRD-1,1
PRD-1-RUN-000066,PRD-1,1
PRD-1-RUN-000067,PRD-1,1
PRD-1-RUN-000068,PRD-1,1
PRD-1-RUN-000069,PRD-1,1
PRD-1-RUN-000070,PRD-1,1
PRD-1-RUN-000071,PRD-1,1
PRD-1-RUN-000072,PRD-1,1
